Object,Classification,Captures rise in g,captures fade in g,Captures rise in r,captures fade in r,Has i band?,ztfg rise min/max,ztfg fade min/max,ztfr rise min/max,ztfr fade min/max,ztfi rise min/max,ztfi fade min/max,usable? (0-5),Misc Notes
ZTF18aakuewf,,n,y,y,y,n,,58225-58240,58225-58230,58230-58250,,,4,
ZTF18aalrxas,,y,y,n,n,n,,,,,,,3,lowish quality ztfr
ZTF18abantmh,,n,n,n,n,n,,,,,,,0,low quality
ZTF18abffyqp,,n,m,n,m,n,,,,,,,1,no peak
ZTF18abvkmgw,,y,y,n,n,n,,,,,,,3,decent g
ZTF18abwkrbl,,y,y,m,y,n,,,,,,,3,only a couple of rise points
ZTF19aanbpus,IIb,y,y,y,y,y,,,,,,,3,weird first r point
ZTF19aaojovs,,n,n,y,y,n,,,,,,,3,only r really
ZTF19aapfmki,,m,y,y,y,n,58582-58587,58586-58610,58580-58587,58587-58600,,,4,can get peak from r
ZTF19aatesgp,,n,y,m,y,y,,58610-58620,58600-58610,58605-58630,,,4,color gap
ZTF19aatoboa,,m,y,n,m,n,,,,,,,3,not much data
ZTF19abacxod,,y,y,y,y,y,58655-58670,58670-58680,58660-58675,58670-58685,58655-58675,,4,weird first g point; has color gap
ZTF19abfarpa,,y,n,n,n,n,,,,,,,3,reallly only rise in g
ZTF19abxjrge,IIb,y,y,y,n,n,58733-58750,58750-58760,58735-58750,,,,4,weird first data point for g and r
ZTF19abxtcio,,m,y,y,y,n,,,,,,,3,weird first data point for g; r rise captured better
ZTF19abyjzvd,,y,y,y,n,n,58730-58740,58740-58750,58730-58741,58740-58747,,,4,good rise observations; alright fade in g
ZTF19acbumks,,y,y,y,y,y,,,,,,,2,3 data points for each band
ZTF19accjfgv,,n,y,n,y,n,,,,,,,3,no peak
ZTF19acsakuv,,n,y,n,n,n,,,,,,,3,no peak; weird r observations
ZTF20aahfqpm,,n,y,n,y,y,,58870-58875,,58870-58875,,58870-58875,4,no peak; fade in all bands
ZTF20aaivtof,,n,y,n,y,n,,,,,,,3,little g data; weird spike in r
ZTF20aajnksq,,n,n,m,m,n,,,,,,,2,single night of observation in r; could meet rise/fade requirement
ZTF20aakqxsq,,m,m,n,n,n,,,,,,,2,single night of observation in g; could meet rise/fade requirement
ZTF20aakypiu,,y,y,y,y,y,58875-58882,58880-58885,58875-58882,58880-58885,58875-58882,58880-58885,5,good rise and fade observations in all bands
ZTF20aamsouh,,n,n,n,m,n,,,,,,,2,only 3 observations in r for fade
ZTF20aaxhzhc,,n,y,m,y,y,,58970-58980,58965-58973,58970-58980,58965-58975,58970-58985,4,potential peak; but only one data point in each before then
ZTF20aayrobw,,y,y,n,y,n,,,,,,,3,handful of points in g
ZTF20aazchcq,,m,y,y,y,y,,,,,,,3,handful of data points
ZTF20abmvjda,,n,n,n,n,n,,,,,,,0,no observations
ZTF20abstsxb,Ia,y,m,y,y,n,,,,,,,3,weird data
ZTF20abtxwfx,GRB,n,n,n,n,n,,,,,,,0,no data
ZTF20abummyz,,n,n,n,n,n,,,,,,,0,no data
ZTF20aburywx,,n,y,n,m,n,,,,,,,2,may have peak in g; few data points
ZTF20abwysqy,,n,m,n,n,n,,59085-59090,,,,,5,should have more data
ZTF20abwzqzo,,m,y,y,y,n,59090-59100,59105-59115,59090-59105,59103-59120,,,4,lots of altas and sdss data; r observations are better than g
ZTF20abxrugr,,n,y,n,m,n,,,,,,,3,decent fade in g
ZTF20acgigfo,Novae;Novae;Novae,n,y,m,y,n,,59125-59145,59120-59128,59127-59145,,,4,decent fade in g
ZTF20acgiglu,,y,y,y,y,n,59125-59145,59143-59155,59125-59145,59150-59160,,,4,slow rise/fade in r; alright in g
ZTF20achedzl,,n,n,n,n,n,,,,,,,0,no data
ZTF20acigusw,,n,y,n,m,n,,,,,,,3,decent fade in g
ZTF20aclfmwn,,n,y,m,m,n,,59140-59145,59140-59144,59143-59150,,,4,decent fade in g; weird spike in r
ZTF20acozryr,GRB,n,y,n,y,n,,59155-59160,,59155-59160,,,4,fade data points
ZTF20acpjgkt,,n,n,n,n,n,,,,,,,0,low quality
ZTF20acpkefi,,y,y,y,y,n,,,,,,,2,slow rise/fade
ZTF20acpuwbf,,y,y,y,y,n,,,,,,,3,okay rise/fade
ZTF20acqehqq,,n,n,n,n,n,,,,,,,0,no data
ZTF20acqirkw,,n,y,n,y,y,,,,,,,3,mostly just fade; some wierd data points
ZTF20acqntkr,Ia;Ia,n,n,n,n,n,,,,,,,0,no data
ZTF20actbebh,orphan,n,n,n,y,n,,,,,,,3,some fade in r
ZTF20actoqra,,n,y,n,y,n,,,,,,,3,fade data
ZTF20actqnhg,,y,y,y,m,y,59185-59200,59198-59210,59180-59200,59198-59210,,,4,very well observed; but might be slow
ZTF20acutkgr,,m,m,m,m,m,,,,,,,3,maybe can get peak; only 3 points in g and r
ZTF20acwbcsj,,n,m,n,m,n,,,,,,,2,potential fade
ZTF20acxooqk,,n,n,m,m,n,,,,,,,2,noisy r data
ZTF20acxouxk,,n,y,n,y,n,,59195-59210,,59195-59210,,,4,decent fade in both
ZTF20acylyct,,n,n,n,y,n,,,,,,,3,decent fade in r
ZTF21aaabrpu,,y,n,y,n,y,59217-59235,,59217-59235,,59217-59235,,4,weird first data point for g; potentially slow rise/fade
ZTF21aaabwfu,,n,m,m,m,y,,,,,,,2,weird shape; kind of a mild hump over the course of 30 days
ZTF21aaafmhn,,n,m,n,m,n,,,,,,,3,really noisy fade in r
ZTF21aaarlbp,Novae;Novae,n,y,n,y,n,,,,,,,3,some fade in both
ZTF21aabtdut,,n,n,n,n,n,,,,,,,0,no data
ZTF21aabxjqr,IIb;IIb,m,y,m,y,n,,,,,,,4,weird secondary peak; dip likely real given preponderance of filters
ZTF21aacngji,,n,m,n,m,n,,,,,,,1,weird offset in fade between filters
ZTF21aacwrno,,m,n,m,n,n,,,,,,,1,2 rise points then plateau
ZTF21aacxlgf,,n,y,n,y,n,,59225-59235,,59225-59235,,,4,good fade
ZTF21aaczajl,,n,y,n,y,n,,,,,,,3,slow-ish fade
ZTF21aaeyldq,afterglow,n,n,m,m,n,,,,,,,3,2 data points in r on same night
ZTF21aagmecm,,n,m,m,y,n,,,,,,,3,more r observations
ZTF21aagwbjr,long GRB,n,n,n,y,n,,,,,,,3,rapid fade in r
ZTF21aahifke,,m,n,n,n,n,,,,,,,2,2 rise points in g
ZTF21aahjuct,,n,y,n,y,n,,,,,,,3,decent fade
ZTF21aaiblte,,n,m,m,m,y,,,,,,,2,weird rise in r during fade in g
ZTF21aaidofu,,n,m,n,m,n,,,,,,,2,potential fade in r; low quality
ZTF21aaivnap,,y,y,y,m,y,,,,,,,3,odd second peak in r
ZTF21aajzfoq,,n,y,n,y,n,,59255-59270,,59255-59270,,,4,good fade; no peak
ZTF21aapkbav,IIb;Type II,n,m,m,y,y,,59290-59295,,59290-59295,,,4,interesting feature in r second peak
ZTF21aaquyjp,,n,n,n,y,n,,,,,,,3,good fade in r
ZTF21aaqzrat,U Gem,y,y,y,y,y,,,,,,,3,odd duration of peak
ZTF21aareeit,,m,y,n,m,n,,,,,,,3,better fade in g
ZTF21aavqior,,n,y,n,y,n,,,,,,,3,fades by 4 mags in 30 days
ZTF21abbvvmf,Type II;IIb;Type II,n,n,n,n,n,,,,,,,0,no data
ZTF21abdpqpq,,n,n,n,m,n,,,,,,,1,weird lightcurve
ZTF21abexegc,,n,y,n,y,n,,,,,,,3,rapid fade
ZTF21abfmpwn,afterglow,n,y,n,y,n,,,,,,,3,rapid fade 
ZTF21abhjssj,,n,y,n,y,n,,,,,,,3,okay fade
ZTF21abhywxv,Ib/c;Ib-pec,m,y,n,y,n,,,,,,,3,potential peak in g; fade in sdss filters too
ZTF21abinaiu,,n,m,n,n,n,,,,,,,1,low quality
ZTF21abkkcev,,n,m,m,y,n,,,,,,,2,low-ish quality
ZTF21abturbi,,n,y,n,y,n,,59440-59450,,59440-59445,,,4,rapid fade
ZTF21abuysnl,,n,y,n,y,n,,59450-59455,,59450-59455,,,4,rapid fade
ZTF21abvczhr,,n,y,n,y,n,,,,,,,3,okay fade
ZTF21abvierr,,n,y,n,y,n,,,,,,,3,okay fade
