# t[days] ztfg ztfr ztfi 
0.500 -12.744 -13.461 -14.043 
1.000 -12.923 -13.700 -14.314 
1.500 -13.025 -13.872 -14.456 
2.000 -12.948 -13.867 -14.461 
2.500 -12.778 -13.787 -14.383 
3.000 -12.563 -13.659 -14.291 
3.500 -12.380 -13.525 -14.167 
4.000 -12.148 -13.361 -14.025 
4.500 -11.943 -13.208 -13.884 
5.000 -11.721 -13.039 -13.745 
5.500 -11.505 -12.896 -13.605 
6.000 -11.307 -12.732 -13.482 
6.500 -11.121 -12.588 -13.357 
7.000 -10.908 -12.426 -13.215 
7.500 -10.712 -12.277 -13.092 
8.000 -10.540 -12.138 -12.983 
8.500 -10.322 -11.990 -12.850 
9.000 -10.196 -11.857 -12.726 
9.500 -9.999 -11.722 -12.613 
10.000 -9.835 -11.590 -12.510 
10.500 -9.665 -11.454 -12.409 
11.000 -9.483 -11.331 -12.290 
11.500 -9.337 -11.216 -12.178 
12.000 -9.165 -11.082 -12.088 
12.500 -9.030 -10.976 -11.984 
13.000 -8.891 -10.845 -11.889 
13.500 -8.695 -10.724 -11.788 
14.000 -8.534 -10.608 -11.679 
14.500 -8.348 -10.455 -11.560 
15.000 -8.165 -10.285 -11.411 
